tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
T31,Kamaryut,West,MMR013D004,2187.066007643938,2364.6346747875214,0.7857716458032034,13,28.19940821004092,1.289371610709606,594.5203491210934,245,20.602048873901367,-2.744889974594116,42.7804069519043,5.820833954164416,102628.7096049851,139,25,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,6.399633655921053,16036.653834088022
T32,Thingangyun,East,MMR013D002,2337.5411726971465,2501.02619257768,0.7838168723303568,13,27.359954575578065,1.17045872368567,636.1764363606769,245,7.228809356689453,-0.0031770800705999,20.873275756835938,3.3601340777224538,230467.877545542,51,62,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,13.047460242310953,17663.811444174346
T33,Bahan,West,MMR013D004,2208.940808471044,2387.1872684876125,0.7786816957519803,13,29.330954166044265,1.3278288876534534,581.8163981119791,245,24.160112380981445,8.193734169006348,52.56132507324219,7.348169202889332,123852.31152165438,47,39,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,8.495393802401901,14578.760490966017
T34,Dawbon,East,MMR013D002,2238.43535797596,2424.2635084788008,0.7754008144579351,13,30.597964737648315,1.3669353742390682,592.9551066080729,245,6.553042888641357,0.5,16.860286712646484,3.6056902490895553,61847.57328704606,12,9,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,3.013970079392308,20520.301017558904
T35,Pabedan,West,MMR013D004,2171.822637188435,2368.622375416756,0.7696972513521722,13,33.19598271721288,1.5284849761114576,581.9227905273438,245,14.929019927978516,-1.6762875318527222,28.91533470153809,8.854306597454563,26783.341246873308,6,16,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,0.634611610014492,42204.30389898112
T36,Twantay,South,MMR013D003,2143.443791395353,2327.10962571807,0.7890899694793794,13,29.124827575127167,1.3587866260848993,573.510205078125,245,5.376342296600342,-1.578295111656189,46.254051208496094,1.68295059494958,291736.62056174513,5,5,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,721.7182901930544,404.22506194724224
T37,Seikgyikanaungto,South,MMR013D003,2116.705225481093,2309.960723513365,0.7762571451789896,13,30.954193143356097,1.4623761859103792,576.0190948486328,245,4.147201061248779,0.5,14.014917373657228,2.3092900611625398,37732.91645926906,2,2,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,0.1709380184538001,0.0637037020039422,12.054183411566587,3130.2756205835103
T38,Dagon,West,MMR013D004,2178.2055795133115,2359.164460366964,0.777741477130596,13,29.879288674162748,1.371738689643741,578.1645446777344,245,25.797039031982425,4.814697742462158,66.74594116210938,7.012924649069109,46120.72169179264,14,6,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,4.879695853079404,9451.556629843531
T39,Seikkan,West,MMR013D004,2128.9112649142744,2321.859205710888,0.7721744751903677,13,32.360137457865505,1.5200322339018937,574.572705078125,245,5.188374996185303,0.5,23.673967361450195,5.4139683014555295,18729.159635257776,1,2,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,1.2460986021350298,15030.238861650088
T40,South Okkalapa,East,MMR013D002,2324.6724989324807,2484.5941131174563,0.7835437986461883,13,26.88084187028098,1.1563281228915043,626.3300659179687,245,6.83333683013916,1.0,16.181732177734375,2.9803012363888555,170626.22409089323,46,39,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,8.311196517903603,20529.68230547045
